total 0
drwxr-xr-x+ 11 rlucas-d     2018          374 Nov  4 12:01 rlucas-d
drwxr-xr-x+ 11 rpousseu     2018          374 Oct 24 11:45 rpousseu
drwxr-xr-x+ 11 saggad       candidate     374 Jul 12  2018 saggad
drwxr-xr-x+ 11 sberckma     candidate     374 Aug  9 02:46 sberckma
drwxr-xr-x+ 11 smondesi     candidate     374 Aug 20 08:44 smondesi
drwxr-xr-x+ 11 sofchami     candidate     374 Aug  8  2018 sofchami
drwxr-xr-x+ 11 spiraux      candidate     374 Jul 10  2018 spiraux
drwxr-xr-x+ 11 srobin       candidate     374 Aug 26 20:29 srobin
drwxr-xr-x+ 12 sstinglh     candidate     408 Jul  4  2018 sstinglh
drwxr-xr-x+ 11 tlechien     candidate     374 Jul 18  2018 tlechien
drwxr-xr-x+ 11 valexand     2018          374 Oct 21 15:52 valexand
drwxr-xr-x+ 11 ychahbar     2018          374 Sep  3 14:06 ychahbar
drwxr-xr-x+ 11 ylaasry      candidate     374 Jul  5  2018 ylaasry

../..//Shared:
total 0
drwxrwxrwx@   2 158   wheel    68 Jul 27  2018 SC Info
drwxrwxrwx@ 167 root  wheel  5678 Jan 30 17:35 adi

../..//Shared/SC Info:

../..//Shared/adi:
total 656
-rw-rw-rw-@ 1 115        wheel  633 May 15  2018 adi-00000073.pb
-rw-rw-rw-  1 115        wheel    0 May 15  2018 adi-00000073.pb.lck
-rw-rw-rw-@ 1 129        wheel  632 May 10  2018 adi-00000081.pb
-rw-rw-rw-  1 129        wheel    0 May 10  2018 adi-00000081.pb.lck
-rw-rw-rw-@ 1 158        wheel  622 May 12  2018 adi-0000009E.pb
-rw-rw-rw-  1 158        wheel    0 May 12  2018 adi-0000009E.pb.lck
-rw-rw-rw-@ 1 193        wheel  637 May 20  2018 adi-000000C1.pb
-rw-rw-rw-  1 193        wheel    0 May 20  2018 adi-000000C1.pb.lck
-rw-rw-rw-@ 1 bocal      wheel  627 May 10  2018 adi-000001F5.pb
-rw-rw-rw-  1 bocal      wheel    0 May 10  2018 adi-000001F5.pb.lck
-rw-rw-rw-@ 1 piscine1   wheel  639 May 19  2018 adi-000003E9.pb
-rw-rw-rw-  1 piscine1   wheel    0 May 19  2018 adi-000003E9.pb.lck
-rw-rw-rw-@ 1 event      wheel  623 Oct 12 13:36 adi-00001092.pb
-rw-rw-rw-  1 event      wheel    0 Oct 12 13:36 adi-00001092.pb.lck
-rw-------  1 archimede  wheel  630 Jan 30 17:35 adi-00001B5A.pb
